question,answer
а байтұрсынұлының 1909 жылы қамалғанға дейінгі атқарған қызметі ,қарқаралыда оқытушы
а байтұрсынов пен м сералин өзі жазбаларында қазақстанға қосу қажет деп дәлелдеген аймақ ,қостанай
а байтұрсыновтың 1911 жылы орынборда жарық көрген жинағы , маса 
а байтұрсыновтың орынборда жарық көрген жинағы , маса 
а байтұрсыновтың өлеңдер жинағы , маса 
а байтұрсыновтың өлеңі , қазақ салты 
а байтұрсынұлының 1909 жылы қамалғанға дейінгі атқарған қызметі ,қарқаралыда мұғалім
а байтұрсынұлының 1911 ж орынборда басылған өлеңдер аударма мысалдар жинағы , маса 
а байтұрсынұлының өлеңі , қазақ салты 
а в затаевичке қазақстанның халық әртісі атағы берілді ,1932 ж
а дутов 1918 жылы маусымда осы қаланы алумен қазақстанды орта азиямен байланыстыратын теміржолды кесіп тастады ,орынборды
а дутов қазақстанда орталық ресеймен байланыстыратын теміржолды кесіп тастады ,1918 жылы маусымда
а жұбанов құрманғазы атындағы қазақ мемлекттік оркестрін құрды ,1934 ж 
а иманов бастаған 15 мың көтерілісші қоршаған қала ,торғай
а иманов көтеріліс отрядтарын қаруландыру үшін, қару жарақ шығаруды ұйымдастырды 
а йассауидың бұқара қаласында діни білім алуына көмектескен ғұлама ,юсуф хамадани 
а құнанбаев тоғыз жыл басқарған болыс ,шыңғыс болысы
а құнанбаевтың өлеңдері жарық көрді ,1909 жылы
а құнанбайұлының алғашқы шығармалар жинағы ресми баспадан шықты ,1909 жылы 
а македонский гректер сақ жеріне қауіп төндірді ,б з б 4 ғ
а македонскийдің сырдариядан өтіп сақтарға қалай шабуыл жасағаны туралы жазды ,грек тарихшысы арриан
а маслов экипажының құрамында болған халық қаһарманы атағын алған қазақстандық ұшқыш ,б бейсекбаев
а п безактың отставқаға кетуіне байланысты оның орнына н а крыжановский тағайындалды ,1864 жылы
а пушкин атындағы мемлекеттік көпшілік кітапхана қазіргі ұлттық кітапхана ашылды ,1939 жылы
а с пушкин атындағы мемлекеттік кітапхана алматыда қашан ашылды ,1939 ж 
а с пушкин қазақстанда қандай қалаларда болды ,орынбор орал
а с пушкин оралда қағазға түсірген поэма , қозы көрпеш және баян сұлу 
