question,answer
 Уайс ханның билік құрған кезінде Моғолстан , ойраттармен көп соғысты 
Уақытша ереже» бойынша ауыл старшындарын қызметке бекіткен: ,әскери губернатор
Уақытша ереженің» талаптарына қарсы 1869 жылғы көтеріліске қатысқандар саны ,3000 
 Уақытша үкімет 1917 ж сәуір-мамыр айларында Қазақстанда қандай шешім қабылдады? ," Патша өкіметінің 1916 ж 25 маусымдағы жарлығы бойынша ""реквизицияланғандарды"" еліне қайтару "
"Уақытша үкімет және жүмысшы, солдат және шаруа депутаттарының кеңесі құрылды:",Ақпан буржуазиялық-демократиялық революциясынан кейін
Уақытша үкімет қандай әлеуметтік топтың мүддесін қорғады? ,Буржуазияның
 Уақытша үкімет мүддесін қорғады –, буржуазияның 
Уақытша үкімет пен кеңестер қатар билікке келді: ,Ақпан төңкерісінен кейін
 Уақытша үкіметтің Қазақстандағы комиссарлары: ," Ә Бөкейханов,М Тынышбайұлы "
Уақытша үкіметтің Ресей жерінде ұлттық келісім орнатуға бағытталған шешімінің бірі: ,1917 жылғы 20-наурыздағы азаматтардың дін ұстануына немесе ұлтқа жататындығына байланысты құқықтарын шектеудің күшін жою туралы шешім 
Уақыты жағынан алғашқысы: ,Қазақ КСР-і егемендігі жөніндегі декларация 
Уақыты жағынан бұрынырақ болған оқиға:,«Біржан-Сара» операсы қойылды
Уалиханов атындағы тұрақ жатады – ,орта палеолитке 
 Уалиханов қай жылы орыс географиялық қоғамның мүшесі болып сайланды?, 1857 ж 
Уалиханов қайэпикалық шығарманың үлкен бөлігін қағазға түсірді? ,Манас 
 Уалихановтың Верный бекінісінде болған жылы:, 1864 ж 
Уалихановтың шығу тегі ,Ақсүйек Шыңғыс хан ұрпағы 
 Уәйіс хан қайтыс болғаннан кейін билік таласқан оның балалары: , Жүніс пен Есен-Бұға Уәли (1781-1819)
Уәлихановтың соңғымақаласы (дүнген көтерілісі туралы) шыққан газет:,Русский инвалид 
 Уезд бастықтарын тағайындайтын басшы:, генерал-губернатор
Уланған немесе өртегіш жебелер пайдаланылды – ,мезолитте 
Успенск кенішінде құрылған жұмысшылардың «Капиталға қарсы орыс-қырғыз одағының» басшылары: ,"Байшағыров, Топорнин"
Усть-Нарым тұрағы орналасқан өңір: ,Шығыс Қазақстан
"Усть-Нарын, Қарағанды, Зеленая Балка, Пеньки тұрақтары нешінші мыңжылдыққа тән?",Б з б 5 мыңжылдыққа 
 Усть-НарынҚазақстанның қай бөлігінде:, ШығысҚазақстан 
"Усул-фиких - мұсылман заңдарын зерттеу, Аканд –",догматика 
Усул-фиких-мұсылман заңдарын зерттеу; Аканд-догматика; Мантық-,логика
"Усунго, Синго мағынасы –",көшпелі мемлекет дегендібілдіреді 
 Усундердің жоғарғы билеушісінің титулы , Гуньмо 
"Уфаға жер аударылып, сол жерде 1790 жылы дүние салған хан: ",Нұралы
 Ұжымдастыру алдындағы мал саны –," 40,5 млн "
 Ұжымдастыру барысында компартия Қазақстанның ауыл шаруашылығытуралы қаулы қабылдады – , 1932 жылы 
 Ұжымдастыру басталардан бұрын республикада ," 40,5 млн мал басы болды "
" Ұжымдастыру басталардан бұрын республикада 40,5 млн мал болса,1933 жылы не бары : "," 4,5 млн мал қалған еді "
 Ұжымдастыру басталардан бұрын республикада: ," 40,5млн мал басы болды "
 Ұжымдастыру жылдары астық дайындау барысында жазаланған шауалар саны: , 31 мың 
 Үжымдастыру жылдары астық дайындау барысында атылған шаруалар саны: , 277 
 Ұжымдастыру жылдары жартылай феодалдар мен байлардан тартып алынған мал саны: , 145 мьщ мал
Ұжымдастыру жылдары жер аударылған жартылай ең ірі феодалдар мен байлар саны— ,657
"Ұжымдастыру жылдары лаңкестік әрекеттерді, өрт салуларды есептемегенде, республика аумағындағы толқулар мен көтерілістер саны: ",372
"Ұжымдастыру жылдары ірі байлардан алынып, шаруашылыкқа берілген ірі қара малдың саны: ",145000
 Ұжымдастыру жылдарында ауыл шаруашылық артелі құрылды: , Астықты аудандарда 
 Ұжымдастыру жылдарында Қазақстанның малды аудандарындағы колхоз құрудың негізгі формасы:, Жерді бірлесіп өңдеу және шөп шабу серіктестігі 
Ұжымдастыру жылдарында республикадан тыс жерлерге көшіп кеткен халық саны: ,1 млн астам 
Ұжымдастыру жылдарындағы толқулар мен көтерілістер саны – ,372 
"Ұжымдастыру кезеңінде көтеріліске шыққан Алматы, Семей округтерінің халқы өтіп кеткен мемлекет: ",Қытай
Ұжымдастыру кезеңіндегі қазақ халқы үшін аштық етек алған жылдары:,1930-1932 жж 1927-1930 жж 
Ұжымдастыру кезінде жер аударылған жартылай ең ірі феодалдар мен байлар саны: ,657 
Ұжымдастыру кезінде көтеріліске қатысқан шаруалары түгелдей қырылып тасталған аудандар – ,"Абыралы, Шыңғыстау, Шұбартау "
Ұжымдастыру кезінде қарсылық көрсетудің қандай түрлері болды? ,Барлық аталғандар 
"Ұжымдастыру кезінде лаңкестік әрекеттерді, өрт салуларды есептемегенде, республика аумағындағы толқулар мен көтерілістер саны: ",372 
 Ұжымдастыру кезінде республикадан тыс жерлерге көшіп кеткен халық саны: , 1 млн аса 
 Ұжымдастыру кезінде халық наразылығының ірі ошағына айналған округ: , Семей 
"Ұжымдастыру кезіндегі ""Асыра сілтеу болмасын, аша тұяқ қалмасын"" ұранын белсеңділері көтерді ",Торғай облысының 
Ұжымдастыру қарсаңында қазақ даласының жекелеген түкпірлерінде көшпенді халықтың кооперативтік бірлестіктері құрылды – 140 Ұжымдастыру қарсаңында Қазақстанда мал саны қанша болды?,"40,5 млн "
"Ұжымдастыру қарсаңында республикада 40,5 млн мал болса,1933 ж небары: ","4,5 млн мал қалды "
 Контрибуция Ұжымдастыруға дейінгі республикадағы мал басы: ," 40,5 млн"
Ұжымдастыруға қарсы «көтеріліс бандалары» дейтіндердің қылмыстық істерін қараған қай орган?,Соттан тыс орган-үштік 
Ұжымдастыруға қарсы бүлік шығарған Алматы округінің едәуір ауылдары көшіп кетуге мәжбүр болды: ,Қытайға
Ұжымдастыруға қарсы халық наразылығының ірі ошағы: ,Семей округі
Ұжымдастыруға қарсылық ошағы Қарақұм көтерілісін Орынборда орналастырылған: ,8- дивизия басып тастады 
Ұжымдастыруда жергілікті белсенділерге қосымша жіберілді: ,8 мың жұмысшы ұжымдастырушылар 
Ұжымдастырудың нөтижесінде болған зардаптардың көлемі жайлы 1933 ж наурызда Сталинге Қазақстанның қай мемлекеттік- қоғамдық қызметкері хат жазды?,Т Рысқұлов 
" Ұжымдстыру жылдары лаңкестік әрекеттерді,үрт салуларды есептемегенде, республика аумағындағы толқулар мен көтерілістер саны: ", 372
"Ұзақ жылдар Карлагта қамауда болып, азап шеккен екі мәрте Социалистік Еңбек Ері атағьш алған, академик, селекционер: ",В С Пустовойт
 Ұзындығы 1-2 см ұсақ жаңқа тастардан жасалатын құралдардың атауы: , Микролиттер 
 Ұзындығы 1-2см-дей ұсақ жаңқа тастардан жасалған құрал—, микролит
Ұзындығы 483 шақырым болатын Мойынты- Шу темір жол құрылысының аяқталған уақыты? ,1950жыл 
Ұйғыр ән-драмалық театры Алматыда қашан ұйымдастырылды? ,1933 ж 
Ұйғыр жазушысы Абдуллинніңповесі:,«Гулстан» 
Ұйғыр қағанаты Карлұқтардан жеңілді : ,840 ж 
Ұйғыр қағанаты қай жылдары өмір сүрді? ,744- 840 ж ж 
 Ұйғыр қағанатынан жеңілген қарлұқтар жылжыды: , Жетісуға
 Ұйғыр қағанатынан жеңілгеннен кейін қарлұқтар жылжыған аймақ: , Жетісу
Ұйғыр қағанатынан ІХ ғасыр басында жеңілген ел—,қарлұқ
 Ұйғыр қағанатының өмір сүруін кімдер тоқтатты?, Енисей қырғыздары 
Ұйғыр қағантын жеңген – ,қырғыздар 
 Ұйғыр халқының дүние жүзілік мәдениет қорына жататын туындысы , «Он екі мұқам» 
" Ұйғыр халқының музыка өнері, әні мен биі жөнінде құнды ой-пікірлер қалдырған ғалым — саяхатшы: ", Ш Уәлиханов 
"Ұйғыр халқының музыка өнері, биі жөнінде жазған ғалым саяхатшы: ",В Роборовский
" Ұйғыр халқының музыка өнері, биі жөнінде жазған ғалым саяхатшы: ", Н Пржевальский 
" Ұйғыр халқының музыкасы, әні мен биі жөнінде айтқан ғалым – ", Ш Уәлиханов 
Ұйғыр халқының рухани мәдениетін зерттеген ғалым саяхатшы: ,Н Пржевальский
