Question,A,B,C,D,E
" 1. Выберите слово, сходное по значению со словом occupation. ",A) profession.,B) decision.,C) respect.,D) condition.,E) success. 
" 2. Выберите слово, близкое по значению: believe. ",A) Advise.,B) Suppose.,C) Reach.,D) See.,E) Notice. 
 3. Выберите правильное слово This is … way to school. ,A) any,B) the,C) an,D) –,E) some
 4. Выберите правильный вариант  притяжательной формы существительного в единственном числе. ,A) people’s work.,B) teachers’ colleges.,C) student’s opportunity.,D) fathers’s boots.,E) women’s appearance. 
 5. Выберите правильный вариант сказуемого. There … something in the box. ,A) Been.,B) Were.,C) Is.,D) Am.,E) Are. 
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Glue  ,B) Glutton  ,C) Globe  ,D) Geography  ,E) Glassy
" 7. Дополните пословицу: East or West, … is best. ",A) Home.,B) Shopping.,C) School.,D) Rest.,E) South. 
 8. Выберите правильный вариант перевода слова: Неправда ,A) Truth.,B) Distruth.,C) Untruth.,D) Imtruth.,E) Intruth. 
 9. Образуйте прилагательное при помощи суффикса: Use ,A) word,B) ic,C) ly,D) ous,E) less
10. Выберите верное местоимение. Pete says apple are… favorite fruit. ,A) Its.,B) You.   ,C) Her.,D) I.,E) His. 
11. Выберите верное местоимение. … books were read last year. ,A) It.,B) This.,C) One.,D) That.,E) Those. 
"12. Дополните предложение, вставив нужное местоимение: Did you meet ... on your way home?  ",A) none,B) nobody,C) any,D) anybody,E) some
13. Выберите правильный ответ: Is Tom going to play on the bridge? ,"A) No, she isn’t.","B) Yes, he is.","C) Yes, it is.","D) Yes, he will.","E) Yes, she is. "
"14. Определите, чем является подчёркнутое слово: The girl washing the floor is my sister. ",A) герундием,B) причастием,C) наречием,D) инфинитивом,E) модальным глаголом 
15. “To get in” означает:   ,A) Распространяться,B) Преодолеть,C) Продолжать,D) Обойти,E) Входить
16. Форма множественного числа отличается от остальных в слове: ,A) Tooth.,B) Horse.,C) Eye.,D) Animal.,E) Body. 
17. Выберите правильную форму глагола “to be”: My brother and I … born in Almaty. ,A) been,B) was,C) is,D) were,E) am 
18. Выберите правильный вариант сказуемого: We … institute every Friday. ,A) Attend.,B) Has attended.,C) Was attended.,D) Is attending.,E) Attending. 
19. Выберите правильный вариант: We were told that the train … five minutes later. ,A) had been arriving,B) would arrive,C) has arrived,D) will arrive,E) would be arrivе
20. Выберите правильную форму глагола в страдательном залоге: He (to send) for the doctor. ,A) Is send.,B) Are send.,C) Was sent.,D) Have been sent.,E) Are sent. 
"21. Закончите предложение : When I was younger, I … play tennis quite well. ",A) To be used to,B) To get used to,C) Used to,D) Used,E) Am used to
22. Образуйте форму Gerund от глагола have: ,A) To have had.,B) To have.,C) Having.,D) To be having.,E) To have been having. 
23. Образуйте форму Perfect Infinitive от глагола Tell: ,A) To have telling.,B) To be told.,C) To tell.,D) To have told.,E) To have tell. 
"24. Прочтите текст и ответьте на вопрос после текста:  A traveller who had been riding in rain and was wet through, arrived at a small hotel in the country. There was only one fireplace in the hall and a lot of people around it. The traveller thought of a plan how to get warm. He asked the hotel owner to give some fish to his horse. The hotel owner was surprised but the traveller insisted and the hotel owner did as he was asked. All the people rushed out to see the horse eat fish. The traveller had the fireplace all to himself and felt comfortable. When the hotel owner had returned he said, ""I was sure horses do not eat fish"". - ""Then why did you give it to my horse?"".  Why did the traveller ask the hotel owner to feed his horse with fish?       ",A) because he wanted to get warm,B) because it was hungry,C) because he was tired,D) because he wanted to sleep,E) because he wanted to see the horse eat fish
"25. Дополните предложение: Please, ... another dress. This one is too big for you. ",A) hope,B) let ,C) case,D) think,E) try on
26. Выразите одним словом: You send them to your relatives on holidays. ,A) Postcards.,B) Sorrows.,C) Clouds.,D) Bags.,E) Children. 
27. Найдите правильный вариант глагола. Professor Asher … another lecture at the same time next week.  ,A) would give ,B) has been giving,C) has given,D) will be giving,E) gives
"28. Найдите правильный вариант глагола. All the people we … came, and some that we hadn’t invited. ",A) have invited,B) were inviting,C) inviting,D) invite,E) had invited
29. Вставьте необходимый модальный глагол: Weve got plenty of time. We ... hurry. ,A) may not,B) don’t can,C) must,D) needn’t,E) had to
"30. Выберите подходящий русский эквивалент к слову “freshman”  In American English, freshman means … . ",A) вновь прибывший,B) первокурсник,C) новичок в деле,D) выпускник,E) второкурсник
 1. Выберите антоним слова. Noise. ,A) weight.,B) cheer.,C) silence.,D) cut.,E) sail. 
" 2. Выберите правильное слово Pass me … salt, please. ",A) –,B) those,C) the,D) an,E) a
 3. Существительное во множественном числе. ,A) wolfes,B) wolfs,C) welf,D) wolves,E) wolf 
 4. Выберите правильный вариант предложения в Past Simple Tense. ,A) My friend has just come home.,B) Pupils run and jump at P.T. Lessons.,C) We are reading now.,D) Ahmed phoned me yesterday.,E) My birthday will be on Sunday. 
 5. Выберите подходящий английский эквивалент. На стене напротив двери весит большая картина. ,A) A large picture on the wall opposite the door there is.  ,B) There is on the wall a large picture opposite the door.,C) Opposite the door on the wall is there a large picture.,D) There is a large picture on the wall opposite the door.,E) A large picture is there on the wall opposite the door. 
" 6. Выберите слово, в котором выделенная буква читается отлично от других слов: ",A) Umbrella.,B) Bus.,C) Brush.,D) Butter.,E) Bush. 
" 7. Образуйте прилагательное с противоположным значением от слова ""possible"": ",A) Impossible.,B) Repossible.,C) Ilpossible.,D) Inpossible.,E) Unpossible. 
 8. Выберите верное местоимение. It’s nice that Becky brought her textbook with … . ,A) She.,B) It.,C) Hers.,D) Her.,E) Me. 
 9. Выберите верное местоимение. … is a large house. ,A) This.,B) Those.,C) Its.,D) None.,E) These. 
10. Выберите верное местоимение: Is there … apples in the basket? ,A) no,B) any,C) anything,D) nothing,E) some 
11. Выберите правильный ответ: Are you going to invite her to the party? ,"A) Yes, I shall.","B) Yes, I am.","C) Yes, there is.","D) Yes, it is.","E) No, I shan’t"
12. Найдите правильный вариант перевода на русский язык:  It’s no use asking him about it.  ,A) Вы скоро привыкнете к этому. ,B) Раньше здесь был дом.,C) Бесполезно его спрашивать об этом.,D) Я часто его встречал.,E) Он обычно приходил к нам. 
13. Выберите страдательный залог герундия в несовершенном времени на примере следующего глагола: To write ,A) writing,B) being written,C) write,D) be writing,E) having been written
14. Определите предложение с Participle I: ,A) He buys fruits every Sunday.,B) A young lady buying flowers is my aunt.,C) She bought a new dress last week.,D) They want to buy tickets.,E) We like buying ice–cream. 
"15. Выберите фразовый глагол со значением «Продолжать, идти дальше»: ",A) To go in for,B) To go on,C) To go off,D) To go without,E) To go back
16. Найдите предложение с фразовым глаголом:  ,A) The sun shines in the sky.,B) He was born in October.,C) There were many people in the street.,D) They go to school in the morning.,"E) Come in, please. "
17. Подберите соответствующий перевод: The book is less interesting than the film. ,"A) Книга более интересная, чем фильм.","B) Фильм такой же интересный, как книга.","C) Фильм менее интересный, чем книга.","D) Книга менее интересная, чем фильм.",E) Книга такая же интересная как фильм. 
18. Дополните предложение: Not to catch the train means to ... it. ,A) have,B) like,C) buy,D) sell,E) miss
19. К теме Travelling относится слово: ,A) Snow.,B) Excursion.,C) Study.,D) Pupil.,E) Tree. 
"20. Выберите слово с суффиксом, обозначающим состояние или качество: ",A) Freshless.,B) Freshly.,C) Freshable.,D) Freshy.,E) Freshness. 
21. Выберите правильный вариант притяжательной формы существительного: Astana is this … new capital. ,A) Сountries’.,B) Countries.,C) Country’s.,D) Country.,E) Countrys’. 
22. Выберите глагол в форме Past Continuous: ,A) Was doing.,B) Has done.,C) Is done.,D) Doing.,E) Done. 
23. Вставьте глагол в соответствующей форме:  Seeing Nick enter the room I rose (greet) him. ,A) to greet,B) greeted,C) greet,D) to greeting,E) to greeted
"24. Прочитайте текст и ответьте на вопрос после текста: Jonathan Swift liked order in everything. All the people in his house, for example, had to shut the door behind them when they came into the room or left it. One day a maid servant came and asked him to let her visit her sister who lived ten miles away. Swift not only agreed, but let her go there in his own carriage. The girl was so happy that she forgot to shut the door when she left the room. Swift let her go, but about half an hour later he ordered one of the servant to ride after the carriage and tell the girl come back. The poor girl had to turn back. She asked him what he wanted. I only want you to shut the door, was his answer. Now you may go to visit your sister. I wish you a pleasant journey. Why did J. Swift order the girl to come back? ",A) Because he wanted to teach her discipline.,B) Because he was a good master.,C) Because he wanted to wish her a pleasant jourhey.,D) Because he wanted to give her his carriage.,E) Because he wanted to stay her at home. 
"25. Выберите правильную форму глагола “to be”: Last Friday he … in Astana ,…he?  ","A) wasn’t, was","B) were, weren’t","C) were, was","D) were, were","E) wasn’t, wasn’t"
26. Найдите правильный вариант глагола:  I just … a postgraduate degree  in business and administration. ,A) will complete,B) completing,C) have completed,D) has completed,E) is compliting
27. Выберите правильный вариант: He explained that they … for us near the gate. ,A) will be waiting,B) will wait,C) would wait,D) wait,E) would waiting
28. Выберите правильную форму глагола в страдательном залоге: The patient (to take) to hospital last Friday. ,A) Was take.,B) Take.,C) Were taken.,D) Was taken.,E) Was took. 
29. Найдите эквивалент: Она должна прийти. ,A) Can she come?,B) She had to come in time. ,C) She needn’t come. ,D) She should have come in time. ,E) She is to come. 
30. Закончите предложение:  A jack is an old name for ... ,A) a danger,B) a tower,C) a village,D) a city,E) a sailor
 1. Синонимом слова “Sad” является: ,A) Happy.,B) Bright.,C) Merry.,D) Dull. ,E) Clever. 
 2. Выберите правильный вариант артиклей. Kansas is situated in … central part of … USA. ,"A) -, -.","B) The, the.","C) A, a.","D) An, a.","E) -, the. "
 3. Выберите правильный вариант притяжательной формы существительного в единственном числе. ,A) students’ choir.,B) inspectors’ idea.,C) actresse’s hat.,D) actor’s voice.,E) spectators’ seats. 
 4. Выберите правильную форму глагола They … married next week. ,A) gets,B) was getting,C) are getting,D) got,E) is getting 
 5. Выберите правильную  форму глагола . There … any sugar on the table. ,A) am,B) isn`t,C) are,D) is,E) aren`t 
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Glade   ,B) Glass   ,C) General ,D) Glad  ,E) Glitter
 7. Выберите правильный вариант переводa слова: Неаккуратный ,A) Intidy.,B) Untidy.,C) Tidy.,D) Imtidy.,E) Retidy. 
" 8. Выберите верное местоимение. Please, wait for … . I’ll be ready in a minute. ",A) She.,B) Me.,C) They.,D) He.,E) I. 
 9. Вставьте пропущенное местоимение: … artist has a great talent. ,A) them,B) this,C) they,D) those,E) these 
10. Дополните предложение:  Is there ... in the room? ,A) no,B) nobody's,C) nothing's,D) anybody,E) anywhere
11. Найдите правильный вариант глагола:  I… a bit lonely these days ,A) am,B) do  ,C) are,D) is,E) were
12. Найдите правильный вариант сказуемого: I … to clean the carpet. ,A) Are going.,B) Is going.,C) Goes.,D) Going.,E) Am going. 
13. Выберите правильный вариант формы глагола: The best thing is … in the forest.   ,A) walking,B) have been walking,C) have walked,D) walk,E) is walking
14. Определите предложение с Participle II: ,A) I don’t know the words written on the blackboard.,B) We shall write you as soon as possible.,C) Nick wrote a report a week ago.,D) She wanted to write a letter to her granny.,E) They are still writing a test. 
15. Aнтонимoм  слова “Joy”является : ,A) Happiness,B) Beauty,C) Grief,D) Laughter,E) Smile
16. “To go ahead” означает:    ,A) Двигаться вперед,B) Возвращаться,C) Выходить,D) Сопровождать,E) Повышаться
