question,answer
А Байтұрсынұлының 1909 жылы қамалғанға дейінгі атқарған қызметі:,Қарқаралыда оқытушы
А Байтұрсынов пен М Сералин өзі жазбаларында Қазақстанға қосу қажет деп дәлелдеген аймақ:,Қостанай
А Байтұрсыновтың 1911 жылы Орынборда жарық көрген жинағы – ,″Маса″ 
А Байтұрсыновтың Орынборда жарық көрген жинағы – ,″Маса″ 
А Байтұрсыновтың өлеңдер жинағы: ,«Маса» 
А Байтұрсыновтың өлеңі:,«Қазақ салты» 
А Байтұрсынұлының 1909 жылы қамалғанға дейінгі атқарған қызметі:,Қарқаралыда мұғалім
"А Байтұрсынұлының 1911 ж Орынборда басылған өлеңдер, аударма, мысалдар жинағы?",«Маса»
А Байтұрсынұлының өлеңі: ,«Қазақ салты» 
А В Затаевичке Қазақстанның халық әртісі атағы берілді: ,1932 ж
А Дутов 1918 жылы маусымда осы қаланы алумен Қазақстанды орта Азиямен байланыстыратын теміржолды кесіп тастады: ,Орынборды
А Дутов Қазақстанда орталық Ресеймен байланыстыратын теміржолды кесіп тастады: ,1918 жылы маусымда
А Жұбанов Құрманғазы атындағы Қазақ мемлекттік оркестрін құрды: ,1934 ж 
А Иманов бастаған 15 мың көтерілісші қоршаған қала: ,Торғай
А Иманов көтеріліс отрядтарын қаруландыру үшін, – қару-жарақ шығаруды ұйымдастырды 
А Йассауидың Бұқара қаласында діни білім алуына көмектескен ғұлама: ,Юсуф Хамадани 
А Құнанбаев тоғыз жыл басқарған болыс: ,Шыңғыс болысы
А Құнанбаевтың өлеңдері жарық көрді: ,1909 жылы
А Құнанбайұлының алғашқы шығармалар жинағы ресми баспадан шықты:,1909 жылы 
А Македонский (гректер) сақ жеріне қауіп төндірді:,б з б 4 ғ
А Македонскийдің Сырдариядан өтіп сақтарға қалай шабуыл жасағаны туралы жазды:,грек тарихшысы Арриан
А Маслов экипажының құрамында болған Халық Қаһарманы атағын алған қазақстандық ұшқыш:,Б Бейсекбаев
А П Безактың отставқаға кетуіне байланысты оның орнына Н А Крыжановский тағайындалды: ,1864 жылы
А Пушкин атындағы мемлекеттік көпшілік кітапхана (қазіргі Ұлттық кітапхана) ашылды:,1939 жылы
