question,answer
Жоңғар шапқыншылығынан зардап шеккен аймақ:, Жетісу
1726 жылы болған Қалмақ қырылған шайқасының маңызы:, Қазақстанның солтүстік-батысы азат етілді
1726 жылы қазақ жасақтарының жоңғарларды талқандауының басы болған оқиға:, Қалмақ қырылған
"Болат хан өлгеннен кейін, аға хандыққа таласқан қазақ хандары:", Сәмеке мен Әбілқайыр
Жоңғарлардың Ташкент пен Түркістан қалаларын басып алуы:, 1724-1725жылы
Қазақстанның Ресейге қосылуының басталған жылы:, 1731жылы
Кіші жүзді Ресейдің қол астына алу ұсынысын қабылдаған патша:, Анна Иоанновна
XVIII ғ. 1 жартысында қазақтардың Ресейге қосылуын ұйымдастырушы:, Әбілқайыр хан
Кіші жүз ханы Әбілқайырдың жұмсауымен қазақтардың Ресейге қосылуы туралы келісім жүргізген елшілер:," Құндағұлұлы, Қоштайұлы"
"1731 жылы Әбілқайырды қолдап, Ресейдің қол астына кіруге ант берген Кіші жүз старшындарының саны:", 29 старшын
1735 жылы Қазақстанның солтүстігінде өзен бойында салынған бекініс, Ор
1738 жылы Орынборда қазақ сұлтандарының съезін шақырған Орынбор комиссиясының басшысы :, В.Татищев
Әбілқайырды 1748 жылы өлтірген: , Барақ сұлтан
Орынбор қаласының салынуы , 1743 жылы
1714-1720 жылы патша өкіметінің Ертіс бойына әскери бекіністер салудағы басты мақсаты:, Қазақ өлкесін біртіндеп жаулап алу
1747 жылы Нәдір шах өлгеннен кейін Хиуа тағына отырған хан:, Қайып сұлтан
XVIII ғ. 50 ж. Солтүстік – Шығыс Қазақстандағы ұзындығы 723 верст болатын шеп, Колыван шебі
XVIII ғ. II ж. қазақ – орыс саудасының белгілі орталықтары," Семей, Өскемен, Бұқтырма"
1766 жылы Әбілмәмбет ханның II Екатеринаға хат жолдау себебі, Түркістан арқылы өтетін керундерді Семей Жәміш бекіністерінде шек қоймай қабылдауға рұқсат алу
Жайық бойында қазақтарға мал жаюға патша өкіметі алғаш рет шек қойды , 1756 жылы
"1766 жылы Екатерина патшадан Түркістан арқылы өтетін ірі керуендерді Семей, Жәміш бекіністерінде қабылдауға рұқсат алған хан", Әбілмәмбет
1741-1743 ж. Абылай сұлтан тұтқында болды:, Жоңғарияның
1771 ж. Орта жүздің ханы Әбілмәмбет қайтыс болғаннан кейін хан тағына отыруға тиіс мұрагер:, Әбілпайыз
"Көзінің тірісінде үлкен абыройға ие болып,қазақ халқының есінде қазақ жерін біріктіруші ретінде қалған хан", Абылай
"Кіші жүздегі көтеріліс басшыларының бірі, Пугачев көтерілісіне қатысқан батыр ", Сырым
Е.Пугачев бастаған шаруалар соғысы кезінде Кіші жүз қазақтары қатысқан ұрыстар," Жайықты қоршауға, Кулагинді алуға"
Орта жүз қазақтарының Пугачев көтерілісі кезінде 1773 жылы қазан айында шабуыл жасау үшін жиналған бекінісі, Пресногорьковск
Е.Пугачев бастаған шаруалар соғысын ашық қолдаған қазақ сұлтаны, Досалы
С.Датұлы старшын болған ру:, Байбақты
1802 жыл С.Датұлы қаза болған жер, Хиуа хандығы
1797 жылы Барон Игельстромның ұсынысы бойынша патша үкіметі бекіткен хан , Айшуақ
Бөкей Ордасының территориясы , Еділ мен Жайықтың аралығы
Ішкі Ордадағы хан сарайы орналасты: , Жасқұста
Ішкі Ордада Хандық кеңес құрылған жыл, 1827 жыл
ХІХ ғасырдың І жартысында Кіші жүздің территориясы қамтыған алқап, 850 000 шақырым
1836 жылы Кенесарының ағасы Саржан өлтіруге бұйрық берген хан:, Қоқан ханы
"Кенесары көтерілісіне қатысқан сұлтан, би, старшындар саны", 80 нен астам
Сыр бойы қазақтарының XIX ғасырдың 50 жылғы азаттық күресін басқарған, Ж.Нұрмұхамедұлы
XIX ғасырдың 60 жылдарында Уақытша Ереже бойынша шаңырақ салығының мөлшері көбейді: , 1 сомнан 3 сомға дейін
1869 жылы көтерілісшілер 20000 қолмен фон Штемпельдің әскеріне шабуыл жасаған жер:, Жамансай көлі маңында
Бөкей Ордасында хандық билік сақталды: , 1845 жылға дейін
Орынбор қазақтарының Жарғысы шықты, 1824 жылы
XIX ғасырдың 60 жылдарында Қазақ жерін басқару жүйесін өзгерту үшін құрылған Дала комиссиясын басқарған, М.Сперанский
1865 жылы 5 маусымда ІІ Александрдың бұйрығымен жүзеге асырылған, Қазақ жерін зерттеу сұрақтарын дайындау
"1867-1868 жылғы Ережелерге сәйкес Иранмен, Қытаймен дипломатиялық келіссөз жүргізуге рұқсат берген әкімшілік", Түркістан генерал-губернаторлығы
"1867-1868 жылғы Ереже бойынша Ақмола, Семей облыстары кіретін генералгубернаторлық", Батыс-Сібір
ХІХ ғасырдағы көшпелі қазақтарда отырықшылықтың кең тарауына себепші болған," Орыс, украин шаруаларының қоныстануы"
Ресей бодандығын 1817 жылы бірінші болып қабылдаған Ұлы жүздің руы, Жалайыр
ХІХ ғасырдың 50-60 жылдары Орта Азия үшін Ресейдің басты бәсекелесі, Англия
Тұз өндіруші қазақтардың 1812 жылғы соғыс кезінде орыс әскерлеріне жинаған қаржы мөлшері, 22 000 сом
1890 жылы Шыңжанмен сауданы дамыту үшін ашылған сауда округі, Семей сауда округі
А.С.Пушкин Оралда қағазға түсірген поэма, Қозы Көрпеш – Баян Сұлу
1841 жылы татарша-орысша білім беретін мектеп ашылған хандық, Кіші Орда
1824-1829 жылдары М.Өтемісұлы тұрған қала, Орынбор
Ш.Уәлихановтың шын есімі, Мұхамед-Қанапия
Абайдың оқуын аяқтатпай еліне әкесі Құнанбайдың алып кету себебі, Ел билеу ісіне тарту үшін.
1855 жылы Петербургте күміс медальға ие болған күйші, Тәттімбет
Тәттімбеттің төрелердің халықты жәбірлеуіне арнап шығарған күйі, Бестөре
"Ы.Алтынсаринның Кел, балалар оқылық өлеңіне ән шығарған сазгер", Жаяу Мұса
Өз заманының азулы өкілдерін сынауға арналған ыза-кекке толы Біржанның өлеңі, Жанбота
Құрманғазының дүниеге келген жері, Бөкей Ордасы
Құрманғазының Исатай Тайманұлына арналған күйі, Кішкентай
ХІХ ғасырда өмір сүрген шертпе күйдің негізін салған күйші, Тәттімбет
Поляк А.Янушкевич Қазақстанда жүзбе-жүз кездескен:, Құнанбаймен
XIX ғ. аяғында саяси жер аударылғандардың шоғырланған өңірі," Шығыс, Орталық Қазақстан"
1905 жылы 21 қарашада патша билігіне қарсылық білдірген әскери гарнизон орналасқан жер, Жаркент
А.Пушкин атындағы мемлекеттік көпшілік кітапхана ашылды, 1939 жылы
Қазақ КСР ғылым академиясы ашылды, 1946 жылы
Ұлы Отан соғысы кезінде әдебиетте пубилицистикалық мақалалары елеулі құбылыс болған майдангер-офицер, Б.Бұлқышев
Ұлы Отан соғысы жылдарында түсірілген кино-картина, Абай әндері
Патша үкіметінің сайлау заңына сәйкес түземдік халық арасынан екінші мемлекеттік Думаға Жетісудан сайланған, М.Тынышпайұлы
ХХ ғасырдың басында Қазақстанда өнеркәсіптің жақсы дамыған түрі:, кен өндірісі
1905-1907 жылдардағы қазақ-орыс еңбекшілерінің интернационалдық бой көрсетуі болған жер, Успен кеніші
Ішкі істер министрі Дурново Қазақстандағы қарсылықтарды басуға тапсырма берген жыл , 1906 жыл 10 қаңтар
Патша үкіметінің сайлау заңына сәйкес түземдік халық арасында екінші мемлекеттік Думаға Ақмола облысынан сайланған, Ш.Қосшығұлов
"Семейден мемлекеттік Думаға сайланып, кейін өзінің сайлаушыларына берген уәдесінен бас тартқан зерттеуші", Н.Коншин
Атбасар мыс кендері акционерлік қоғамы жұмысшыларының ереуілі болған жыл, 1911 жыл
А.Байтұрсынов Орынборда тұрған жылдар, 1910-1917 жылдар
М.Дулатұлының 1915 жылы жарық көрген туындысы, Терме
1914 жылы қазақтардан жиналатын шаңырақ салығының мөлшері, 600 мың сом
ХХ ғасырдың басында өндіріс орындарында жасөспірімдерге күніне төленетін еңбек ақысы:, 20 тиын
"І дүниежүзілік соғыс жылдарында Семей, Ақмола облыстарынан майданға тартылған жұмысшылардың үлесі:", 50 % -ға дейін
1915 жылы Аустро-Венгрия тұтқындарының ереуілі өткен жер, Риддер кен байыту орны
ХХ ғасырдың басында жарыққа шыққан Ш.Құдайбердіұлының кітабы:, Мұсылмандық шарты
"ХХ ғасырдың басында ағарту ісін дамытуда, оны уағыздауда үлкен орын алған журнал ", Айқап
Ұлы ақын Абай Құнанбайұлының шығармалар жинағының баспадан шығуы , 1909 жылы
Кеңестік биліктің 1921 жылы наурыз айында енгізген экономикалық саясаты, Жаңа экономикалық саясат
Қазақстан ғылымының қалыптасқан кезеңі, 1920-1930 жылдар
"1920-1930 жылдары қазақ әдебиетінің туын ұстап, Абай дәстүрін жалғастырған, шығармалары арқылы поэзияға серпін берген ақын-жазушы",С.Сейфуллин
"М.Жұмабаевтың эпостық құлашпен жазылған, жоңғар шапқыншылығы кезіндегі тарихи оқиғаны суреттейтін дастаны", Батыр Баян
"С.Сейфуллиннің қазақ халқының 1916 жылғы ұлт-азаттық қозғалыс, Ақпан және Қазан төңкерістері, азамат соғысына қатысуын шынайы тұрғыда бейнелеген тарихи романы","Тар жол, тайғақ кешу"
"Сейфуллиннің 1927 жылы жарық көрген Тар жол, тайғақ кешу атты тарихи романында қазақтардың қатысуын суреттеген тарихи оқиғалардың бірі",Азамат соғысы
"ХХ ғасырдың бірінші жартысында төңкеріс, кеңестік Отан, бостандық, адамгершілік, махаббат туралы өлеңдер мен дастандар жазған көрнекті қазақ ақыны ", Иса Байзақов
