question,answer
а байтұрсын 1909 жылы қамал дейін атқар қызмет ,қарқаралыда оқытушы
а байтұрсын пен м сералин өзі жазба қазақ қосу қажет деп дәлел аймақ ,қостанай
а байтұрсын 1911 жылы орынб жарық көрген жинағ ," маса "
а байтұрсын орынб жарық көрген жинағ ," маса "
а байтұрсын өлеңдер жинағ ," маса "
а байтұрсын өлеңі ," қазақ салты "
а байтұрсын 1909 жылы қамал дейін атқар қызмет ,қарқаралыда мұғалім
а байтұрсын 1911 ж орынб басыл өлеңдер аудар мысал жинағ ," маса "
а байтұрсын өлеңі ," қазақ салты "
а в затаевич қазақ халық әртісі атағы беріл ,1932 ж
а дутов 1918 жылы маусы осы қалан алумен қазақ орта азиямен байла темір кесіп таста ,орынборды
а дутов қазақ орталы ресей байла темір кесіп таста ,1918 жылы маусымда
а жұбанов құрман атында қазақ мемлек оркест құрды ,1934 ж 
а иманов баста 15 мың көтер қорша қала ,торғай
а иманов көтер отряд қарул үшін ," қару жарақ шығаруды ұйымдастырды "
а йассауи бұқар қаласы діни білім алуын көмек ғұлама ,юсуф хамадани 
а құнанба тоғыз жыл басқа болыс ,шыңғыс болысы
а құнанба өлеңдер жарық көрді ,1909 жылы
а құнанба алғаш шығар жинағ ресми баспа шықты ,1909 жылы 
а македон гректер сақ жерін қауіп төнді ,б з б 4 ғ
а македон сырдария өтіп сақта қалай шабуыл жасағ туралы жазды ,грек тарихшысы арриан
а маслов экипажының құрам болған халық қаһарманы атағы алған қазақ ұшқыш ,б бейсекбаев
а п безак отставқаға кетуін байла оның орнын н а крыжановский тағайында ,1864 жылы
а пушкин атында мемлек көпшілі кітап қазір ұлтты кітап ашылды ,1939 жылы
а с пушкин атында мемлек кітап алматы қашан ашылды ,1939 ж 
а с пушкин қазақ қандай қалал болды ,орынбор орал
а с пушкин оралд қағаз түсір поэма ," қозы көрпеш және баян сұлу "
а с пушкин оралд қай поэма қағаз түсір ," қозы көрпеш және баян сұлу "
а с пушкин орал жерін таныс поэма ," қозы көрпеш және баян сұлу "
а с пушкин орынб жерін болған қазақ шаруа соғыс қатыс туралы жазға еңбегі ," пугачев бүлігінің тарихы "
а с пушкин орынб қазақ болған жыл ,1833 жыл
а с пушкин ю лермонтовтың шиллердің шығар пролетар әнұран интер қазақ тілін аудар ,ж аймауытов
а яссауи бұқар қаласы діни білім алуын көмек ғұлама ,юсуф хамадани
а яссауи кесене орнал қала ,түркістан 
а яссауи диуан и хикмет жинағ ,адалдыққаимандылыққаданалыққа шақырады
абай атында қазақ мемлек музык опера және балет театр қашан ашылды ,1934 ж 
абай есімі беріл жоғар оқу орны ,қазақ пединституты 
абай есімі беріл жоғар оқу орны ,қазақтың тұңғыш пединституты 
абай жолы роман үшін мемлек сыйлы алған көрнект қазақ жазушы ,м әуезов 
абай жолы эпопеясы үшін ленин сыйлы алған көрнект қазақ жазушы ,м әуезов 
